name	manufacturer	type	calories	protein	fat	sodium	fiber	carbo	sugars	potass	vitamins	weight	cups	rating
100% Bran	Nabisco	Cold	70	4	1	130	10	5	6	280	25	1	0,33	68,40297
100% Natural Bran	Quaker Oats	Cold	120	3	5	15	2	8	8	135	0	1	1	33,98368
All-Bran	Kelloggs	Cold	70	4	1	260	9	7	5	320	25	1	0,33	59,42551
All-Bran with Extra Fiber	Kelloggs	Cold	50	4	0	140	14	8	0	330	25	1	0,5	93,70491
Almond Delight	Ralston Purina	Cold	110	2	2	200	1	14	8	-1	25	1	0,75	34,38484
Apple Cinnamon Cheerios	General Mills	Cold	110	2	2	180	1,5	10,5	10	70	25	1	0,75	29,50954
Apple Jacks	Kelloggs	Cold	110	2	0	125	1	11	14	30	25	1	1	33,17409
Basic 4	General Mills	Cold	130	3	2	210	2	18	8	100	25	1,33	0,75	37,03856
Bran Chex	Ralston Purina	Cold	90	2	1	200	4	15	6	125	25	1	0,67	49,12025
Bran Flakes	Post	Cold	90	3	0	210	5	13	5	190	25	1	0,67	53,31381
Cap'n'Crunch	Quaker Oats	Cold	120	1	2	220	0	12	12	35	25	1	0,75	18,04285
Cheerios	General Mills	Cold	110	6	2	290	2	17	1	105	25	1	1,25	50,765
Cinnamon Toast Crunch	General Mills	Cold	120	1	3	210	0	13	9	45	25	1	0,75	19,82357
Clusters	General Mills	Cold	110	3	2	140	2	13	7	105	25	1	0,5	40,40021
Cocoa Puffs	General Mills	Cold	110	1	1	180	0	12	13	55	25	1	1	22,73645
Corn Chex	Ralston Purina	Cold	110	2	0	280	0	22	3	25	25	1	1	41,44502
Corn Flakes	Kelloggs	Cold	100	2	0	290	1	21	2	35	25	1	1	45,86332
Corn Pops	Kelloggs	Cold	110	1	0	90	1	13	12	20	25	1	1	35,78279
Count Chocula	General Mills	Cold	110	1	1	180	0	12	13	65	25	1	1	22,39651
Cracklin' Oat Bran	Kelloggs	Cold	110	3	3	140	4	10	7	160	25	1	0,5	40,44877
Cream of Wheat (Quick)	Nabisco	Hot	100	3	0	80	1	21	0	-1	0	1	1	64,53382
Crispix	Kelloggs	Cold	110	2	0	220	1	21	3	30	25	1	1	46,89564
Crispy Wheat & Raisins	General Mills	Cold	100	2	1	140	2	11	10	120	25	1	0,75	36,1762
Double Chex	Ralston Purina	Cold	100	2	0	190	1	18	5	80	25	1	0,75	44,33086
Froot Loops	Kelloggs	Cold	110	2	1	125	1	11	13	30	25	1	1	32,20758
Frosted Flakes	Kelloggs	Cold	110	1	0	200	1	14	11	25	25	1	0,75	31,43597
Frosted Mini-Wheats	Kelloggs	Cold	100	3	0	0	3	14	7	100	25	1	0,8	58,34514
Fruit & Fibre Dates; Walnuts; and Oats	Post	Cold	30	6	5	220	1	21	14	200	25	1,25	0,67	40,91705
Fruitful Bran	Kelloggs	Cold	120	3	0	240	5	14	12	190	25	1,33	0,67	41,01549
Fruity Pebbles	Post	Cold	110	1	1	135	0	13	12	25	25	1	0,75	28,02577
Golden Crisp	Post	Cold	100	2	0	45	0	11	15	40	25	1	0,88	35,25244
Golden Grahams	General Mills	Cold	110	1	1	280	0	15	9	45	25	1	0,75	23,80404
Grape Nuts Flakes	Post	Cold	100	3	1	140	3	15	5	85	25	1	0,88	52,0769
Grape-Nuts	Post	Cold	110	3	0	170	3	17	3	90	25	1	0,25	53,37101
Great Grains Pecan	Post	Cold	120	3	3	75	3	13	4	100	25	1	0,33	45,81172
Honey Graham Ohs	Quaker Oats	Cold	120	1	2	220	1	12	11	45	25	1	1	21,87129
Honey Nut Cheerios	General Mills	Cold	110	3	1	250	1,5	11,5	10	90	25	1	0,75	31,07222
Honey-comb	Post	Cold	110	1	0	180	0	14	11	35	25	1	1,33	28,74241
Just Right Crunchy  Nuggets	Kelloggs	Cold	110	2	1	170	1	17	6	60	100	1	1	36,52368
Just Right Fruit & Nut	Kelloggs	Cold	140	3	1	170	2	20	9	95	100	1,3	0,75	36,47151
Kix	General Mills	Cold	110	2	1	260	0	21	3	40	25	1	1,5	39,24111
Life	Quaker Oats	Cold	100	4	2	150	2	12	6	95	25	1	0,67	45,32807
Lucky Charms	General Mills	Cold	110	2	1	180	0	12	12	55	25	1	1	26,73452
Maypo	American Home Food Products	Hot	100	4	1	0	0	16	3	95	25	1	1	54,85092
Muesli Raisins; Dates; & Almonds	Ralston Purina	Cold	150	4	3	95	3	16	11	170	25	1	1	37,13686
Muesli Raisins; Peaches; & Pecans	Ralston Purina	Cold	150	4	3	150	3	16	11	170	25	1	1	34,13977
Mueslix Crispy Blend	Kelloggs	Cold	160	3	2	150	3	17	13	160	25	1,5	0,67	30,31335
Multi-Grain Cheerios	General Mills	Cold	100	2	1	220	2	15	6	90	25	1	1	40,10597
Nut&Honey Crunch	Kelloggs	Cold	120	2	1	190	0	15	9	40	25	1	0,67	29,92429
Nutri-Grain Almond-Raisin	Kelloggs	Cold	140	3	2	220	3	21	7	130	25	1,33	0,67	40,69232
Nutri-grain Wheat	Kelloggs	Cold	90	3	0	170	3	18	2	90	25	1	1	59,64284
Oatmeal Raisin Crisp	General Mills	Cold	130	3	2	170	1,5	13,5	10	120	25	1,25	0,5	30,45084
Post Nat. Raisin Bran	Post	Cold	120	3	1	200	6	11	14	260	25	1,33	0,67	37,84059
Product 19	Kelloggs	Cold	100	3	0	320	1	20	3	45	100	1	1	41,50354
Puffed Rice	Quaker Oats	Cold	50	1	0	0	0	13	0	15	0	0,5	1	60,75611
Puffed Wheat	Quaker Oats	Cold	50	2	0	0	1	10	0	50	0	0,5	1	63,00565
Quaker Oat Squares	Quaker Oats	Cold	100	4	1	135	2	14	6	110	25	1	0,5	49,51187
Quaker Oatmeal	Quaker Oats	Hot	100	5	2	0	2,7	-1	-1	110	0	1	0,67	50,82839
Raisin Bran	Kelloggs	Cold	120	3	1	210	5	14	12	240	25	1,33	0,75	39,2592
Raisin Nut Bran	General Mills	Cold	100	3	2	140	2,5	10,5	8	140	25	1	0,5	39,7034
Raisin Squares	Kelloggs	Cold	90	2	0	0	2	15	6	110	25	1	0,5	55,33314
Rice Chex	Ralston Purina	Cold	110	1	0	240	0	23	2	30	25	1	1,13	41,99893
Rice Krispies	Kelloggs	Cold	110	2	0	290	0	22	3	35	25	1	1	40,56016
Shredded Wheat	Nabisco	Cold	80	2	0	0	3	16	0	95	0	0,83	1	68,23589
Shredded Wheat 'n'Bran	Nabisco	Cold	90	3	0	0	4	19	0	140	0	1	0,67	74,47295
Shredded Wheat spoon size	Nabisco	Cold	90	3	0	0	3	20	0	120	0	1	0,67	72,80179
Smacks	Kelloggs	Cold	110	2	1	70	1	9	15	40	25	1	0,75	31,23005
Special K	Kelloggs	Cold	110	6	0	230	1	16	3	55	25	1	1	53,13132
Strawberry Fruit Wheats	Nabisco	Cold	90	2	0	15	3	15	5	90	25	1	1	59,36399
Total Corn Flakes	General Mills	Cold	110	2	1	200	0	21	3	35	100	1	1	38,83975
Total Raisin Bran	General Mills	Cold	140	3	1	190	4	15	14	230	100	1,5	1	28,59279
Total Whole Grain	General Mills	Cold	100	3	1	200	3	16	3	110	100	1	1	46,65884
Triples	General Mills	Cold	110	2	1	250	0	21	3	60	25	1	0,75	39,10617
Trix	General Mills	Cold	110	1	1	140	0	13	12	25	25	1	1	27,7533
Wheat Chex	Ralston Purina	Cold	100	3	1	230	3	17	3	115	25	1	0,67	49,78745
Wheaties	General Mills	Cold	100	3	1	200	3	17	3	110	25	1	1	51,59219
Wheaties Honey Gold	General Mills	Cold	110	2	1	200	1	16	8	60	25	1	0,75	36,18756
